Year,Crop production,Livestock,Forestry,Fishing
1981,1854764.44,341411.5,77897.99,90299.23
1982,1897078.85,361115.7,73910.25,93856.08
1983,1842704.31,393131.01,75282.78,97963.82
1984,1759115.15,399685.38,76694.14,68010.74
1985,2180907.71,428102.85,78082.45,43969.46
1986,2427100.66,421627.97,86594.92,51511.83
1987,2329995.84,433433.52,87594.28,40648.69
1988,2581595.05,444269.94,88907.95,59794.67
1989,2710674.81,453155.59,67307.31,94809.39
1990,2828589.58,462218.99,72613.57,101294.12
1991,2955875.91,454823.21,74791.9,105346.41
1992,3044552.16,458916.79,76512.11,94811.77
1993,3132843.73,461670.56,78042.4,71109.13
1994,3226829.55,466287.56,80071.46,66486.88
1995,3336541.36,485872.07,81832.93,73135.57
1996,3462995.96,499962.45,82241.9,88347.9
1997,3611905.26,512461.13,82982.17,98331.07
1998,3752769.63,526297.84,83977.89,112196.02
1999,3949415.21,541034.01,85070.09,128124.37
2000,4067897.64,553478.21,86346.14,133249.2
2001,4222477.41,570082.86,88072.9,143908.93
2002,6977878.78,597498.38,88690.22,153017.1
2003,7493024.2,622559.31,90021.5,159227.1
2004,7956655.07,663025.91,95873.02,173019.4
2005,8524146.88,707871.01,101546.8,183426.85
2006,9162650.26,756734.19,107658.07,195432.46
2007,9826769.09,809164.94,114249.34,208285.76
2008,10437994.13,864188.16,121218.55,221970.14
2009,11046155.59,920199.22,128313.12,235657.62
2010,11683896.37,979564.05,135720.9,249711.48
2011,12017192.0,999404.04,142459.38,270323.35
2012,12919542.05,972762.79,146094.08,291306.71
2013,13247801.8,1030937.33,154314.17,317469.91
2014,13793450.01,1086847.0,161338.2,338754.12
2015,14274936.74,1151323.39,167258.41,358701.61
2016,14894447.82,1185118.44,171642.65,356128.42
2017,15437049.7,1204205.25,177326.97,360913.36
2018,15786437.68,1208128.04,182747.93,366834.08
2019,16181992.98,1210055.38,187474.87,379060.48
2020,16544520.56,1233114.81,190508.05,380032.51
2021,16920523.88,1240215.352,193224.32,384450.87
2022,17260752.41,1247719.41,196357.19,386243.8
2023,17585429.09,1140235.81,199826.63,380998.75

Metadata: This file was processed on 2024-06-18 13:47:35.970771
