Year,Month,Month-on Change (%),Year-on Change (%),12-month average change (%)
1995,Jan,,,
1995,Feb,4.6,,
1995,Mar,3.6,,
1995,Apr,9,,
1995,May,6.2,,
1995,Jun,4.5,,
1995,Jul,3.3,,
1995,Aug,3.5,,
1995,Sep,1.7,,
1995,Oct,-2.5,,
1995,Nov,1.4,,
1995,Dec,3.6,,
1996,Jan,1.1,47.6,
1996,Feb,1.8,43.6,
1996,Mar,2.3,41.9,
1996,Apr,1.3,31.8,
1996,May,5.5,31,
1996,Jun,2.8,28.8,
1996,Jul,3.8,29.5,
1996,Aug,1.3,26.7,
1996,Sep,-0.7,23.7,
1996,Oct,-1.7,24.6,
1996,Nov,-1.7,20.9,
1996,Dec,-2,14.3,29.3
1997,Jan,1.1,14.3,26.7
1997,Feb,1,13.4,24.4
1997,Mar,2.7,13.7,22.3
1997,Apr,4.2,17.1,21.2
1997,May,1.7,12.9,19.7
1997,Jun,1.7,11.6,18.2
1997,Jul,0.7,8.3,16.4
1997,Aug,0.7,7.7,14.8
1997,Sep,-1.8,6.5,13.4
1997,Oct,-1.9,6.3,12
1997,Nov,-0.1,8.1,11
1997,Dec,-0.1,10.2,10.7
1998,Jan,-0.2,8.8,10.2
1998,Feb,0.4,8.2,9.8
1998,Mar,1.5,7,9.3
1998,Apr,2.4,5,8.3
1998,May,1.1,4.4,7.6
1998,Jun,3.5,6.3,7.2
1998,Jul,2.9,8.6,7.2
1998,Aug,-0.4,7.3,7.2
1998,Sep,-2.2,7,7.2
1998,Oct,0,9,7.5
1998,Nov,1.6,10.9,7.7
1998,Dec,0.9,11.9,7.9
1999,Jan,1.9,14.3,8.3
1999,Feb,0.4,14.4,8.8
1999,Mar,0.8,13.5,9.4
1999,Apr,0.6,11.6,9.9
1999,May,0.9,11.4,10.5
1999,Jun,0.7,8.3,10.6
1999,Jul,-1.2,4,10.2
1999,Aug,-3.5,0.8,9.6
1999,Sep,-0.7,2.2,9.2
1999,Oct,-0.7,1.5,8.5
1999,Nov,0.1,0,7.6
1999,Dec,1.1,0.2,6.6
2000,Jan,-0.8,-2.5,5.2
2000,Feb,1.2,-1.7,3.9
2000,Mar,1.1,-1.4,2.7
2000,Apr,2,0,1.8
2000,May,3.2,2.2,1.1
2000,Jun,4.3,5.9,0.9
2000,Jul,-0.5,6.7,1.2
2000,Aug,2.3,13.1,2.2
2000,Sep,1.4,15.5,3.3
2000,Oct,0.6,17.1,4.5
2000,Nov,-1.4,15.4,5.8
2000,Dec,0.4,14.5,6.9
2001,Jan,1.9,17.6,8.6
2001,Feb,2,18.6,10.3
2001,Mar,0.7,18.2,11.9
2001,Apr,6.3,23.2,13.9
2001,May,2.9,23,15.7
2001,Jun,-1.5,16.1,16.6
2001,Jul,2,19,17.7
2001,Aug,2.1,18.7,18.1
2001,Sep,1.7,19.1,18.4
2001,Oct,0.8,19.3,18.6
2001,Nov,-2.9,17.4,18.7
2001,Dec,-0.4,16.5,18.9
2002,Jan,3.7,18.6,18.9
2002,Feb,1.6,18,18.9
2002,Mar,0.2,17.4,18.8
2002,Apr,2.2,12.8,17.9
2002,May,0.6,10.2,16.8
2002,Jun,0.3,12.2,16.4
2002,Jul,5.1,15.6,16.2
2002,Aug,-0.8,12.3,15.6
2002,Sep,-0.4,10,14.8
2002,Oct,-3.4,5.4,13.6
2002,Nov,3.3,12.2,13.2
2002,Dec,-0.4,12.2,12.9
2003,Jan,2.2,10.6,12.3
2003,Feb,-1.5,7.3,11.4
2003,Mar,-1.1,5.9,10.5
2003,Apr,4.5,8.3,10.1
2003,May,0.9,8.7,10
2003,Jun,5.2,14,10.1
2003,Jul,4.1,12.9,10
2003,Aug,-1.3,12.4,10
2003,Sep,4.9,18.4,10.7
2003,Oct,0.8,23.6,12.3
2003,Nov,1.4,21.3,13
2003,Dec,1.7,23.8,14
2004,Jan,1,22.4,15
2004,Feb,0.5,24.8,16.5
2004,Mar,-3,22.5,17.8
2004,Apr,0.3,17.5,18.5
2004,May,2.9,19.8,19.4
2004,June,0.2,14.1,19.4
2004,July,1,10.7,19.1
2004,Aug,0.8,13,19.1
2004,Sep,1.3,9.1,18.2
2004,Oct,2.3,10.7,17.1
2004,Nov,0.8,10,16.1
2004,Dec,1.7,10,15
2005,Jan,0.9,9.8,14
2005,Feb,1.5,10.9,12.9
2005,Mar,1.7,16.3,12.5
2005,Apr,1.7,17.9,12.6
2005,May,1.9,16.8,12.5
2005,Jun,1.7,18.6,12.9
2005,Jul,7.4,26.1,14.2
2005,Aug,2.5,28.2,15.5
2005,Sep,-1.8,24.3,16.8
2005,Oct,-2.4,18.6,17.4
2005,Nov,-2.2,15.1,17.8
2005,Dec,-1.5,11.6,17.9
2006,Jan,0.1,10.7,17.9
2006,Feb,1.6,10.8,17.8
2006,Mar,2.8,12,17.4
2006,Apr,2.2,12.6,16.9
2006,May,0.1,10.5,16.4
2006,Jun,-0.2,8.5,15.5
2006,Jul,2,3,13.5
2006,Aug,3.2,3.7,11.4
2006,Sep,0.6,6.3,10
2006,Oct,-2.5,6.1,9
2006,Nov,-0.7,7.8,8.5
2006,Dec,-0.8,8.5,8.2
2007,Jan,-0.4,8,8
2007,Feb,0.8,7.1,7.7
2007,Mar,1,5.2,7.2
2007,Apr,1.2,4.2,6.5
2007,May,0.5,4.6,6
2007,Jun,1.5,6.4,5.9
2007,Jul,0.5,4.8,6
2007,Aug,2.6,4.2,6.1
2007,Sep,0.5,4.1,5.9
2007,Oct,-2.1,4.6,5.7
2007,Nov,-0.1,5.2,5.5
2007,Dec,0.6,6.6,5.4
2008,Jan,1.4,8.6,5.5
2008,Feb,0.3,8,5.5
2008,Mar,0.8,7.8,5.8
2008,Apr,1.6,8.2,6.1
2008,May,1.9,9.7,6.5
2008,Jun,3.7,12,7
2008,Jul,2.2,14,7.8
2008,Aug,1.2,12.4,8.5
2008,Sep,1.1,13,9.2
2008,Oct,-0.6,14.7,10.1
2008,Nov,-0.05,14.8,10.9
2008,Dec,0.8,15.1,11.6
2009,Jan,0.5,14,12
2009,Feb,0.7,14.6,12.6
2009,Mar,0.6,14.4,13.1
2009,Apr,0.6,13.3,13.5
2009,May,1.8,13.2,13.8
2009,June,1.8,11.2,13.7
2009,July,2.1,11.1,13.4
2009,Aug,1.1,11,13.3
2009,Sep,0.5,10.4,13.1
2009,Oct,0.5,11.6,12.8
2009,Nov,0.7,12.4,12.6
2009,Dec,2.2,13.9,12.5
2010,Jan,1,14.4,12.6
2010,Feb,1.9,15.6,12.7
2010,Mar,-0.1,14.8,12.8
2010,Apr,0.8,15,12.9
2010,May,-0.04,12.9,12.9
2010,Jun,2.91,14.1,13.1
2010,Jul,1.08,13,13.3
2010,Aug,1.76,13.7,13.5
2010,Sep,0.46,13.6,13.8
2010,Oct,0.3,13.4,13.9
2010,Nov,0.04,12.8,13.9
2010,Dec,1.29,11.8,13.7
2011,Jan,1.2,12.1,13.5
2011,Feb,0.96,11.1,13.2
