Year,Month,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services
1995,Jan,14.4,14.7,20.6,0,15.1,15,20.7,29.2,7.8,31.7,28.1,16.2,0,15.7,0,0,10.1
1995,Feb,15,15.3,21.2,0,15.8,15.6,20.6,30.5,8.4,33.3,29.1,15.9,0,15.9,0,0,10.6
1995,Mar,15.6,15.8,21.9,0,16.4,16.2,21.6,31.6,8.6,34.7,30.6,16.8,0,16.2,0,0,10.9
1995,Apr,17,16.7,23.3,0,18.1,17.9,21.7,33.8,9.1,36,30.9,17.2,0,17.6,0,0,11.7
1995,May,18,17.1,23.8,0,19.5,19.3,22.5,34.3,9.2,37,32.2,17.6,0,17.9,0,0,12.5
1995,Jun,18.8,17.4,24.4,0,20.7,20.4,23.7,35.1,9.2,37.8,31.9,18.2,0,18.4,0,0,12.5
1995,Jul,19.4,17.9,25.2,0,21.5,21.1,23.7,36.8,9.4,39,32.6,18.6,0,18.9,0,0,13.2
1995,Aug,20.1,18.4,25.8,0,22.3,21.9,24.8,38.2,9.7,40.2,33.5,18.6,0,19,0,0,13
1995,Sep,20.5,19,26.4,0,22.4,22,24.9,39.2,10.5,40.9,35.1,19.9,0,20.3,0,0,13.8
1995,Oct,20,19.4,27,0,21.5,21.2,23.8,39.8,10.3,40.8,35.5,20.7,0,21.7,0,0,14.4
1995,Nov,20.2,19.7,27.5,0,21.7,21.5,24.5,41.3,10.3,41,37.2,21.2,0,21.8,0,0,14.5
1995,Dec,21,20.1,28.2,0,22.6,22.4,25,42.6,10.7,41.2,38.5,21.8,0,21.7,0,0,14.6
1996,Jan,21.2,20.7,28.4,0,22.7,22.5,24.8,43.1,11.4,40.6,40.5,22,0,22.4,0,0,14.5
1996,Feb,21.6,21.1,29,0,23.2,22.9,25.2,44,11.6,41.6,40.7,22.4,0,22.9,0,0,15.5
1996,Mar,22.1,21.5,29.6,0,23.8,23.4,25,46.6,11.8,42.3,40.8,22.5,0,23.3,0,0,14.9
