Year,Month,Month-on Change (%),Year-on Change (%),12-month average change (%)
1995,Jan,,,
1995,Feb,4.9,,
1995,Mar,3.6,,
1995,Apr,8.9,,
1995,May,6.5,,
1995,Jun,4.9,,
1995,Jul,2.9,,
1995,Aug,4,,
1995,Sep,2.1,,
1995,Oct,-3.2,,
1995,Nov,1.4,,
1995,Dec,3.8,,
1996,Jan,0.6,48,
1996,Feb,1.9,43.7,
1996,Mar,2.4,42,
1996,Apr,1.3,32.1,
1996,May,5.4,30.7,
1996,Jun,2.7,28,
1996,Jul,4.5,30.1,
1996,Aug,1.4,26.8,
1996,Sep,-0.7,23.3,
1996,Oct,-2.1,24.8,
1996,Nov,-2,20.5,
1996,Dec,-2.1,13.7,29.2
1997,Jan,0.7,13.8,26.6
1997,Feb,1.1,13,24.2
1997,Mar,4.4,15.2,22.2
1997,Apr,0.6,14.3,20.8
1997,May,1.2,9.8,19.1
1997,Jun,1.5,8.5,17.4
1997,Jul,3.3,7.2,15.5
1997,Aug,-2.7,2.9,13.4
1997,Sep,-3.4,0.1,11.4
1997,Oct,0.3,2.5,9.7
1997,Nov,-0.8,3.8,8.4
1997,Dec,4.3,10.6,8.2
1998,Jan,-0.4,9.4,7.9
1998,Feb,0.9,9.2,7.6
1998,Mar,1.7,6.4,6.9
1998,Apr,2.7,8.7,6.5
1998,May,0.8,8.2,6.4
1998,Jun,3.6,10.4,6.6
1998,Jul,3,10.1,6.9
1998,Aug,-0.4,12.7,7.7
1998,Sep,-2.4,13.8,8.9
1998,Oct,-0.1,13.3,9.7
1998,Nov,1.5,16,10.7
1998,Dec,0.8,12.1,10.9
1999,Jan,1.2,14,11.3
1999,Feb,0.7,13.7,11.6
1999,Mar,1.2,13.1,12.2
1999,Apr,0.7,10.9,12.3
1999,May,0.8,11,12.6
1999,Jun,0.9,8.1,12.3
1999,Jul,-1.3,3.6,11.7
1999,Aug,-3.9,0.1,10.6
1999,Sep,-0.3,2.3,9.6
1999,Oct,-0.9,1.5,8.6
1999,Nov,-0.1,-0.1,7.3
1999,Dec,1.3,0.4,6.3
2000,Jan,-1.2,-2,5
2000,Feb,1.4,-1.4,3.8
2000,Mar,1.2,-1.4,2.6
2000,Apr,2,-0.2,1.8
2000,May,3.2,2.2,1.1
2000,Jun,4.5,5.9,0.9
2000,Jul,-0.6,6.6,1.2
2000,Aug,2.3,13.4,2.3
2000,Sep,1.6,15.5,3.4
