Year,Month,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services
1995,Jan,14.7,15.3,22.4,0,15.2,15,22.2,30.3,8.4,32.4,30.3,18.6,0,15.5,0,0,11
1995,Feb,15.5,16.1,23.1,0,15.9,15.7,21.6,31.8,9.3,34.2,31.5,17.7,0,15.8,0,0,11.6
1995,Mar,16,16.6,24,0,16.5,16.3,22.9,32.8,9.5,35.9,33.3,18.8,0,16.2,0,0,11.9
1995,Apr,17.5,17.5,25.5,0,18.2,18,23,35,9.9,37.1,33.3,19.2,0,17.8,0,0,12.9
1995,May,18.6,17.9,26,0,19.7,19.5,24,35.4,10.2,38.1,34.9,19.8,0,18.1,0,0,13.8
1995,Jun,19.5,18.2,26.8,0,21,20.7,25.2,36.3,10.1,38.9,34.1,20.7,0,18.7,0,0,13.7
1995,Jul,20.1,18.6,27.5,0,21.7,21.3,25.6,37.7,10.1,40.3,34.8,21.3,0,19.1,0,0,14.6
1995,Aug,20.9,19.2,28.2,0,22.7,22.2,26.9,39.2,10.6,41.4,36.1,21.5,0,19,0,0,14.2
1995,Sep,21.3,19.9,28.8,0,22.8,22.4,26.7,40.5,11.5,42.1,37.9,22.2,0,20.6,0,0,15.2
1995,Oct,20.6,20.3,29.5,0,21.7,21.4,25.4,41,11.3,42.1,38.4,23,0,22.1,0,0,16.2
1995,Nov,20.9,20.6,30.1,0,22,21.8,26.5,42.6,11.3,42.4,40.5,23,0,22.3,0,0,16.2
1995,Dec,21.7,21,30.7,0,23,22.7,27.2,43.9,11.7,42.3,41.7,23.2,0,22.1,0,0,16.2
1996,Jan,21.8,21.5,30.9,0,23,22.7,26.4,44.4,12.3,41.9,44.5,23.4,0,22.9,0,0,16.2
1996,Feb,22.2,21.9,31.7,0,23.5,23.1,26.8,45.3,12.5,43.2,43.6,24.3,0,23.4,0,0,16.2
1996,Mar,22.8,22.4,32.3,0,24,23.7,26.4,48.3,12.8,43.9,43.6,24.5,0,24,0,0,15.4
1996,Apr,23.1,22.6,32.5,0,24.3,24,27.5,49.2,12.9,43.8,45.2,25.4,0,24.4,0,0,16.1
1996,May,24.3,22.9,33,0,26.1,25.6,29.1,49.1,13,45.2,46.6,25.6,0,25.2,0,0,16.6
1996,Jun,25,22.9,32.9,0,27,26.5,28.4,48.9,13.3,44.7,47.7,25.6,0,25.3,0,0,16.9
1996,Jul,26.1,23.4,33.7,0,28.5,28,29.9,50.1,13.5,44.7,48.1,25.7,0,25.4,0,0,17.3
1996,Aug,26.5,23.4,33.8,0,29.1,28.5,30.9,51.2,13.3,44.9,48.8,25.9,0,25.3,0,0,17.6
1996,Sep,26.3,23.7,34.2,0,28.6,28.1,32.8,51.1,13.6,45.5,50.2,26.6,0,26,0,0,17.9
1996,Oct,25.7,23.5,34,0,27.8,27.3,32.3,51.2,13.5,44.5,50.5,26.7,0,26.5,0,0,18.3
1996,Nov,25.2,23.5,33.9,0,26.9,26.6,31.5,51.1,13.5,45,49.8,26.9,0,26.4,0,0,18.8
1996,Dec,24.7,23.9,34.3,0,25.9,25.6,31.4,52.1,13.9,46.4,50.3,27.6,0,28.3,0,0,17.9
1997,Jan,24.8,23.8,34.3,0,26.2,25.9,33.4,51.8,13.7,45.6,51,28.2,0,28.6,0,0,18.1
1997,Feb,25.1,23.7,34.1,0,26.6,26.3,34.6,51.9,13.7,45.1,51,28.2,0,28.7,0,0,17.9
1997,Mar,26.2,23.9,34.5,0,28.3,27.8,33.3,52.5,13.8,44.9,51.7,27.9,0,28.4,0,0,18.7
1997,Apr,26.4,24.1,35,0,28.5,28,33.1,52.9,13.9,44.7,53.5,27.7,0,28.4,0,0,18.1
1997,May,26.7,24.4,35.2,0,28.9,28.4,33.1,53.7,14,45.2,53.4,27.8,0,28.6,0,0,18.4
1997,Jun,27.1,24.2,35,0,29.4,28.9,33.6,55,13.8,45.2,54.4,29.4,0,28.6,0,0,18.2
1997,Jul,28,24.3,35,0,30.8,30.1,33.5,54.9,14,45.6,53.4,29.2,0,28.6,0,0,18.3
1997,Aug,27.2,24.2,35.1,0,29.7,29.1,33.1,55.2,13.6,45.7,53.5,30.5,0,28.8,0,0,18.7
1997,Sep,26.3,24.6,35.6,0,28.1,27.7,34.2,55.7,13.9,46.4,53.4,30.2,0,28.5,0,0,18.9
1997,Oct,26.4,24.3,35.7,0,28.3,27.9,34.5,55.6,13.3,46.3,56,29.9,0,29,0,0,18.8
1997,Nov,26.2,24.5,35.8,0,27.9,27.5,33.9,55.7,13.5,46.4,56.9,31.4,0,29.4,0,0,19.1
1997,Dec,27.3,25.2,36.7,0,29.2,28.8,36.5,56.9,14.1,46.9,58.7,32,0,30.3,0,0,20.6
1998,Jan,27.2,25.3,36.9,0,29.1,28.6,35.9,57.7,14.2,45.5,57.3,31,0,32,0,0,20.6
1998,Feb,27.4,25.6,36.7,0,29.2,28.8,34.1,58.3,15.1,44.9,59.1,31.1,0,31.6,0,0,20.2
1998,Mar,27.9,26,36.5,0,29.8,29.3,30.6,57.4,16.1,44.2,58.1,31.2,0,30.7,0,0,19.1
1998,Apr,28.7,26.2,36.5,0,30.8,30.2,30.7,57.3,16.5,45.4,56.9,31.7,0,31.7,0,0,18.9
1998,May,28.9,26.7,36.9,0,30.9,30.3,33.2,57.1,17.4,44.4,57,32,0,32.6,0,0,18.7
1998,Jun,29.9,28.1,37.1,0,31.5,30.9,33.8,56.6,20.4,44.8,56.3,32,0,32.1,0,0,19.6
1998,Jul,30.8,28.1,36.4,0,32.7,32.1,33.9,54.7,21,45.2,55.7,32.6,0,31.9,0,0,19.4
1998,Aug,30.7,28.5,37,0,32.4,31.8,35.1,55.4,21.1,45.9,55.4,33.5,0,32.3,0,0,19.6
1998,Sep,29.9,29,36.9,0,30.9,30.4,36.4,54.5,22.3,45.4,54.6,34,0,32.8,0,0,20.2
1998,Oct,29.9,29.6,37.1,0,30.5,30.1,34.1,55,23.1,44.7,54.9,34.8,0,33,0,0,20.4
1998,Nov,30.3,31.8,37.1,0,29.8,29.4,34.3,54.9,27.8,45.1,56.3,35.2,0,33,0,0,20.6
1998,Dec,30.6,32.1,37.8,0,30.2,29.7,32.1,56.8,27.4,45.5,58.1,35.7,0,33.9,0,0,20.8
1999,Jan,31,32.6,37.7,0,30.5,30,33.7,56.2,28.4,46.3,58,35.8,0,33.8,0,0,21.4
1999,Feb,31.2,32.5,37.5,0,30.8,30.3,34.8,54.3,28.5,45.9,58.4,36.4,0,33.3,0,0,20.8
1999,Mar,31.6,32.5,37.6,0,31.4,30.8,34.3,55.7,28.4,45.7,59.9,36.4,0,34,0,0,21
1999,Apr,31.8,32.7,37.5,0,31.6,31,35.2,55.8,29,45.1,61.2,36.5,0,34.5,0,0,21.2
