Year,Month,Month-on Change (%),Year-on Change (%),12-month average change (%)
1995,Jan,,,
1995,Feb,3.0,,
1995,Mar,3.5,,
1995,Apr,9.2,,
1995,May,4.3,,
1995,Jun,2.7,,
1995,Jul,5.5,,
1995,Aug,1.2,,
1995,Sep,0.0,,
1995,Oct,1.5,,
1995,Nov,1.0,,
1995,Dec,2.9,,
1996,Jan,3.5,45.4,
1996,Feb,1.5,43.3,
1996,Mar,2.1,41.3,
1996,Apr,0.8,30.5,
1996,May,6.1,32.7,
1996,Jun,2.9,33.0,
1996,Jul,0.5,26.7,
1996,Aug,0.9,26.4,
1996,Sep,-0.8,25.3,
1996,Oct,0.3,23.8,
1996,Nov,-0.1,22.4,
1996,Dec,-1.2,17.5,29.8
1997,Jan,2.7,16.6,27.5
1997,Feb,0.2,15.1,25.3
1997,Mar,2.0,14.9,23.3
1997,Apr,-0.1,13.9,21.9
1997,May,2.5,10.0,20.0
1997,Jun,1.6,8.7,18.0
1997,Jul,0.8,9.0,16.5
1997,Aug,-0.7,7.3,14.9
1997,Sep,0.4,8.6,13.6
1997,Oct,-2.1,6.1,12.2
1997,Nov,0.0,6.1,10.9
1997,Dec,0.9,8.4,10.2
1998,Jan,0.7,6.2,9.4
1998,Feb,-2.4,3.5,8.4
1998,Mar,0.3,1.8,7.4
1998,Apr,0.8,2.7,6.5
1998,May,2.7,2.9,5.9
1998,Jun,3.5,4.7,5.6
1998,Jul,2.1,6.1,5.3
1998,Aug,-0.3,6.4,5.3
1998,Sep,-0.8,5.2,5.0
1998,Oct,0.7,8.2,5.2
1998,Nov,2.0,10.3,5.5
1998,Dec,1.3,10.8,5.8
1999,Jan,5.3,15.9,6.6
1999,Feb,-0.8,17.8,7.7
1999,Mar,-1.5,15.7,8.9
1999,Apr,0.1,14.9,9.9
1999,May,1.2,13.3,10.7
1999,Jun,-0.3,9.1,11.1
1999,Jul,-1.0,5.8,11.1
1999,Aug,-1.8,4.2,10.8
1999,Sep,-3.0,2.0,10.5
1999,Oct,-0.1,1.2,9.9
1999,Nov,0.9,0.2,9.0
1999,Dec,0.4,-0.7,8.0
2000,Jan,0.9,-4.8,6.2
2000,Feb,0.6,-3.5,4.5
2000,Mar,0.7,-1.4,3.1
2000,Apr,2.1,0.6,2.0
2000,May,2.7,2.1,1.1
2000,Jun,3.3,5.8,0.9
2000,Jul,0.0,6.9,1.0
2000,Aug,2.5,11.6,1.6
2000,Sep,0.3,15.4,2.7
2000,Oct,1.1,16.8,4.0
2000,Nov,0.9,16.7,5.3
2000,Dec,1.5,17.9,6.8
2001,Jan,0.4,17.3,8.7
2001,Feb,3.6,20.9,10.7
2001,Mar,2.6,23.1,12.8
2001,Apr,4.2,25.7,14.9
2001,May,0.1,22.5,16.7
2001,Jun,0.5,19.2,17.9
2001,Jul,-0.2,18.9,18.9
2001,Aug,1.6,17.9,19.4
2001,Sep,7.1,25.8,20.3
2001,Oct,-3.0,20.7,20.6
2001,Nov,-1.4,18.0,20.6
2001,Dec,0.4,16.8,20.5
2002,Jan,3.5,20.3,20.7
2002,Feb,0.2,16.3,20.3
2002,Mar,1.3,14.8,19.6
2002,Apr,0.7,10.9,18.3
2002,May,0.8,11.7,17.4
2002,June,1.7,13.1,16.9
2002,July,2.8,16.4,16.7
2002,Aug,-3.6,10.4,16.0
