Year,Month,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services
1995,Jan,13.7,13.3,15.9,0.0,15.4,15.2,19.2,26.0,7.8,28.9,24.0,13.9,0.0,15.8,0.0,0.0,8.5
1995,Feb,14.1,13.4,16.3,0.0,16.1,15.9,21.2,26.4,7.6,29.6,24.5,14.3,0.0,15.7,0.0,0.0,8.7
1995,Mar,14.6,13.8,16.8,0.0,16.7,16.5,21.2,27.7,7.8,29.5,25.0,14.9,0.0,15.9,0.0,0.0,8.8
1995,Apr,16.0,14.8,17.9,0.0,18.4,18.2,21.4,30.2,8.7,31.1,26.3,15.2,0.0,17.0,0.0,0.0,9.1
1995,May,16.6,15.0,18.1,0.0,19.4,19.2,21.6,31.3,8.6,32.3,26.9,15.5,0.0,17.1,0.0,0.0,9.6
1995,Jun,17.1,15.3,18.4,0.0,20.0,19.8,22.9,32.0,8.8,33.0,28.1,15.8,0.0,17.5,0.0,0.0,10.1
1995,Jul,18.0,16.1,19.4,0.0,21.1,20.9,21.9,34.7,9.7,33.5,28.6,16.1,0.0,18.3,0.0,0.0,10.1
1995,Aug,18.3,16.2,19.7,0.0,21.4,21.1,22.1,35.5,9.7,35.1,28.7,15.8,0.0,18.7,0.0,0.0,10.6
1995,Sep,18.3,16.8,20.4,0.0,21.0,20.7,23.1,35.8,9.9,36.4,30.0,17.6,0.0,19.5,0.0,0.0,10.7
1995,Oct,18.5,17.0,20.8,0.0,21.3,21.0,22.9,36.6,9.8,35.8,29.8,18.4,0.0,20.6,0.0,0.0,10.3
1995,Nov,18.7,17.2,21.1,0.0,21.5,21.3,22.3,37.7,9.5,35.6,30.7,19.4,0.0,20.4,0.0,0.0,10.7
1995,Dec,19.3,17.9,22.0,0.0,22.0,21.8,22.3,39.2,10.1,36.6,32.4,20.2,0.0,20.8,0.0,0.0,11.1
1996,Jan,19.9,18.7,22.3,0.0,22.5,22.3,24.1,39.9,11.7,35.9,32.1,20.5,0.0,21.0,0.0,0.0,10.4
1996,Feb,20.2,19.2,22.6,0.0,22.7,22.4,24.4,40.6,12.4,34.5,35.6,20.4,0.0,21.4,0.0,0.0,14.9
1996,Mar,20.7,19.2,23.0,0.0,23.5,23.2,25.3,41.7,11.7,35.9,36.0,20.4,0.0,21.5,0.0,0.0,15.5
1996,Apr,20.8,19.6,23.3,0.0,23.5,23.2,26.1,41.5,12.2,36.0,36.7,21.1,0.0,22.1,0.0,0.0,15.6
1996,May,22.1,20.0,23.8,0.0,25.4,25.0,25.1,42.3,12.5,36.4,41.1,21.4,0.0,23.4,0.0,0.0,15.9
1996,Jun,22.7,20.7,24.0,0.0,26.0,25.6,24.6,44.9,13.6,36.6,41.6,21.8,0.0,23.8,0.0,0.0,16.6
1996,Jul,22.9,20.4,24.3,0.0,26.5,26.1,26.7,45.4,12.7,36.4,39.6,21.5,0.0,24.5,0.0,0.0,16.7
1996,Aug,23.1,20.7,24.7,0.0,26.5,26.2,28.2,45.8,12.8,38.6,39.1,22.0,0.0,25.8,0.0,0.0,16.7
1996,Sep,22.9,20.8,24.9,0.0,26.2,25.8,28.8,47.6,12.6,39.6,43.9,21.4,0.0,26.3,0.0,0.0,17.2
