Year,Account_Balance Billions of USD
1980,5.178
1981,-6.474
1982,-7.282
1983,-4.332
1984,123
1985,2.604
1986,211
1987,-73
1988,-296
1989,01.09
1990,4.988
1991,1.203
1992,2.268
1993,-0.78
1994,-2.128
1995,-2.578
1996,3.507
1997,552
1998,-4.244
1999,506
2000,7.427
2001,2.478
2002,1.083
2003,3.391
2004,16.841
2005,36.529
2006,36.518
2007,27.648
2008,29.145
2009,13.869
2010,13.111
2011,10.668
2012,17.374
2013,19.049
2014,907
2015,-15.439
2016,5.077
2017,13.564
2018,7.283
2019,-13.685
2020,-15.986
2021,-3.254
2022,1.019
2023,1.211
2024,1.432
Metadata: This file was processed on 2024-06-18 13:47:38.163480
