Date,Currency,Buying Rate,Central Rate,Selling Rate
2023-10-18,US DOLLAR,882.56,883.06,883.56
2023-10-18,POUND STERLING,1071.9574,1072.5647,1073.172
2023-10-18,EURO,929.9535,930.4803,931.0072
2023-10-18,SWISS FRANC,982.3687,982.9252,983.4817
2023-10-18,YEN,5.8912,5.8945,5.8979
2023-10-18,CFA,1.2286,1.2386,1.2486
2023-10-18,WAUA,1014.8687,1015.4436,1016.0186
2023-10-18,RIYAL,235.2803,235.4136,235.5469
2023-10-18,DANISH KRONE,124.6008,124.6714,124.742
2023-10-18,SDR,1157.2127,1157.8683,1158.5239
2023-10-18,YUAN/RENMINBI,120.6013,120.6696,120.7379
2023-10-18,SOUTH AFRICAN RAND,46.4117,46.438,46.4643
2023-10-17,US DOLLAR,774.436,774.936,775.436
2023-10-17,POUND STERLING,943.263,943.872,944.481
2023-10-17,EURO,819.121,819.6498,820.1787
2023-10-17,SWISS FRANC,860.1022,860.6575,861.2128
2023-10-17,YEN,5.1722,5.1756,5.1789
2023-10-17,CFA,1.2086,1.2186,1.2286
2023-10-17,WAUA,1000.7707,1001.4169,1002.063
2023-10-17,RIYAL,206.4557,206.589,206.7223
2023-10-17,DANISH KRONE,109.7806,109.8514,109.9223
2023-10-17,SDR,1015.363,1016.0186,1016.6741
2023-10-17,YUAN/RENMINBI,105.8696,105.9379,106.0063
2023-10-17,SOUTH AFRICAN RAND,41.2338,41.2604,41.287
2023-10-16,US DOLLAR,764.241,764.741,765.241
2023-10-16,POUND STERLING,930.1577,930.7663,931.3748
2023-10-16,EURO,805.51,806.037,806.564
2023-10-16,SWISS FRANC,846.9921,847.5463,848.1004
2023-10-16,YEN,5.1038,5.1071,5.1105
2023-10-16,CFA,1.208,1.218,1.228
2023-10-16,WAUA,1001.3367,1001.9918,1002.6469
2023-10-16,RIYAL,203.7378,203.8711,204.0044
2023-10-16,DANISH KRONE,107.968,108.0387,108.1093
2023-10-16,SDR,1001.385,1002.0401,1002.6953
2023-10-16,YUAN/RENMINBI,104.5216,104.59,104.6584
