Year,All Items (Year on Change),All Items (12 Months Avg. Change),Food (Year on Change)/1,Food (12 Months Avg. Change)/1,All Items Less Farm Produce (Year on Change)/2,All Items Less Farm Produce (12 Months Avg. Change)/2,All Items Less Farm Produce and Energy (Year on Change)/3,All Items Less Farm Produce and Energy (12 Months Avg. Change)/3
2003,167.20000000000002,134.4,72.1,77.4,322.0,230.7,235.40000000000003,161.5
2004,184.6,211.2,174.7,137.7,203.29999999999998,325.09999999999997,165.49999999999997,242.4
2005,214.20000000000002,177.0,276.3,224.8,107.8,98.79999999999998,127.1,102.69999999999999
2006,100.49999999999999,162.5,71.2,176.6,153.5,133.1,166.5,149.50000000000003
2007,65.0,75.9,23.0,30.6,112.10000000000001,138.6,38.50000000000001,119.1
2008,138.29999999999998,94.5,191.70999999999998,106.41,60.71,69.29999999999998,80.94999999999999,28.869999999999997
2009,151.10000000000002,156.4,179.3,199.20000000000002,110.80000000000003,94.7,134.57,126.53000000000002
2010,165.10000000000002,159.1,177.2,175.4,148.8,133.70000000000002,143.99000000000004,137.2
2011,130.2,145.20000000000002,124.1,147.20000000000002,140.70000000000002,144.1,129.0,136.7
2012,146.9,137.79999999999998,135.79999999999998,129.5,166.39999999999998,153.9,159.10000000000002,146.27000000000004
2013,102.2,123.1,116.39999999999999,124.99999999999999,92.8,127.6,81.27,113.38999999999999
2014,96.7,97.0,113.89999999999999,113.9,82.39999999999999,85.8,86.1,86.60000000000001
2015,108.12,101.75000000000001,118.64000000000001,115.16,98.60000000000001,87.85,97.8,88.74
2016,187.49999999999997,143.67,178.60000000000002,145.60999999999996,182.84000000000003,137.31,150.51,121.52999999999997
2017,198.57,205.72,234.16000000000003,214.51,162.58000000000004,186.59000000000003,155.89,161.97
2018,145.75,170.05999999999997,173.28,207.46,126.51,139.47,134.57,144.91
2019,136.7,136.54999999999998,164.78999999999996,162.42000000000002,109.92999999999998,115.75000000000001,117.27000000000002,123.61999999999999
2020,158.51000000000002,145.57,193.36,176.93,123.5,114.42,129.83,121.07999999999998
2021,203.81,189.31,245.96,232.46,157.71,142.54,164.76999999999998,149.45000000000002
2022,225.18,205.91,249.99,233.48,192.17000000000002,172.81,191.50000000000003,176.13
2023,294.24,262.46999999999997,333.05,293.77,251.08,226.01,248.20999999999998,223.32
2024,128.49,106.75999999999999,153.87,123.12,99.68,88.32,101.46000000000001,87.97
