Year,Food & Live Animal,Beverages & Tobacco, Crude Mineral Inedible,Mineral Fuels,Animals & Vegetable Oils & Fats,Chemicals,Manufactured Goods,Machinery & Transport Equipment,Miscellaneous Manufactured Goods, Miscellaneous Transactions,Total
1960,47.822,12.304,4.292,22.66,0.13,24.464,162.268,103.28,47.826,6.736,431.782
1961,45.448,12.22,4.908,26.76,0.126,25.192,175.034,101.008,47.5,6.842,445.038
1962,46.986,9.538,4.818,28.148,0.168,24.664,146.13,96.532,43.306,6.144,406.434
1963,43.826,5.818,6.222,31.036,0.178,28.89,148.382,101.202,42.67,6.95,415.174
1964,41.24,5.844,7.372,39.026,0.256,34.152,179.214,149.872,44.944,5.506,507.426
1965,46.062,4.016,13.176,34.7,0.344,40.27,180.036,184.82,41.064,5.574,550.062
1966,51.576,4.56,14.424,7.618,0.362,41.538,158.624,190.894,37.608,5.504,512.708
1967,42.56,3.664,5.652,17.576,0.602,42.588,144.514,143.226,34.784,5.934,441.1
1968,28.398,2.334,10.532,29.11,0.578,44.894,109.388,120.994,28.062,11.112,385.402
1969,41.8,1.64,11.508,31.258,0.386,60.804,144.678,151.108,26.868,27.332,497.382
1970,57.7,4.0,16.6,22.0,0.8,88.5,227.0,285.3,39.5,15.0,756.4
1971,88.3,4.5,20.4,9.0,0.7,121.5,319.3,417.8,68.5,28.9,1078.9
1972,95.8,4.4,20.8,10.3,1.1,102.6,267.7,391.9,83.1,12.4,990.1
1973,126.3,5.2,27.0,13.6,1.4,133.4,323.9,491.4,94.2,8.4,1224.8
1974,154.8,9.1,63.7,55.4,3.6,281.0,493.4,561.8,104.0,10.5,1737.3
1975,298.8,48.1,74.4,100.4,8.9,333.2,1007.4,1561.0,278.7,10.6,3721.5
1976,441.7,63.8,79.3,181.3,24.7,398.5,1130.1,2467.2,351.4,10.5,5148.5
1977,780.7,132.3,78.4,128.4,46.4,504.0,1500.0,3311.0,441.3,171.2,7093.7
1978,1027.6,54.6,97.5,161.2,78.4,642.8,1855.9,3573.4,631.2,89.1,8211.7
1979,1254.3,8.4,117.4,126.6,97.5,846.7,1742.2,2905.1,349.5,24.8,7472.5
1980,1437.5,12.1,156.7,154.8,115.0,913.5,1981.5,3650.4,645.1,29.0,9095.6
1981,1819.6,16.5,218.9,151.1,128.7,1250.4,2590.7,5668.1,947.7,47.9,12839.6
1982,1642.3,16.4,207.2,115.5,151.4,1031.6,2287.0,4569.9,692.3,56.9,10770.5
1983,1761.1,17.8,277.6,72.0,143.4,969.7,2006.1,3213.4,430.0,12.6,8903.7
1984,1349.7,16.6,300.1,83.4,163.0,1050.7,1354.2,2568.1,274.0,18.5,7178.3
1985,1199.0,9.4,350.5,61.1,71.0,1108.2,1611.8,2414.4,224.5,12.7,7062.6
1986,801.9,14.5,193.9,32.0,124.9,1039.0,1237.1,2277.8,252.4,10.1,5983.6
