Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
1991,18.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
1992,15.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
1993,17.5,17.5,23.0,23.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
1994,26.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1995,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1996,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1997,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1998,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1999,13.5,14.75,16.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0
2000,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,15.0
2001,14.0,15.5,15.5,16.5,16.5,16.5,16.5,18.5,18.5,20.5,20.5,20.5
2002,20.5,20.5,20.5,20.5,20.5,20.5,18.5,18.5,18.5,18.5,18.5,16.5
2003,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15.0,15.0,15.0,15.0,15.0
2004,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2005,15.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2006,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,10.0
2007,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.5
2008,9.5,9.5,9.5,10.0,10.0,10.25,10.25,10.25,9.75,9.75,9.75,9.75
2009,9.75,9.75,9.75,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0
2010,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.25,6.25,6.25,6.25
2011,6.5,6.5,7.5,7.5,8.0,8.0,8.75,8.75,9.25,12.0,12.0,12.0
2012,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2014,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0
2015,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0
2016,11.0,11.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0
2017,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2018,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2019,14.0,14.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
2020,13.5,13.5,13.5,13.5,12.5,12.5,12.5,12.5,11.5,11.5,11.5,11.5
2021,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2022,11.5,11.5,11.5,11.5,13.0,13.0,14.0,14.0,15.5,15.5,16.5,16.5
2023,17.5,17.5,18.0,18.0,18.5,18.5,18.75,18.75,18.75,18.75,18.75,18.75
2024,18.75,22.75,24.75,24.75,26.25,26.25,,,,,,

Metadata: This file was processed on 2024-06-18 13:47:38.657091
