Year,Narrow Money,Money Supply M3,Net Foreign Assets,Net Domestic Credit,Credit to Government,Credit to Private Sector,Base Money,Currency in Circulation,Bank Reserves,Currency Outside Banks,Demand Deposits,Quasi Money,Net Domestic Assets,Credit To GovernmentFed,Mirror Accounts,Other Assets Net,Money Supply M2,CBN Bills,Special Intervention Reserves
1960,217.61,30368977.77,150.28,117.63,8.3,109.33,157.05,154.15,2.9,135.32,82.28,54.79,122.12,2681922.73,-1618844.16,4.49,272.4,2447132.17,258214.99
1961,222.32,30368977.77,163.63,143.77,26.64,117.13,166.96,160.19,6.76,138.2,84.12,70.51,129.2,2681922.73,-1618844.16,-14.56,292.83,2447132.17,258214.99
1962,242.14,30368977.77,156.34,187.0,38.22,148.78,177.51,174.66,2.85,149.96,92.18,83.29,169.09,2681922.73,-1618844.16,-17.91,325.43,2447132.17,258214.99
1963,267.55,30368977.77,133.45,237.57,67.07,170.5,185.46,183.3,2.16,168.98,98.57,94.27,228.37,2681922.73,-1618844.16,-9.2,361.82,2447132.17,258214.99
1964,316.06,30368977.77,124.89,306.08,83.13,222.96,217.02,214.71,2.31,197.89,118.17,114.43,305.59,2681922.73,-1618844.16,-0.49,430.49,2447132.17,258214.99
1965,326.36,30368977.77,154.6,313.09,80.48,232.61,220.48,217.89,2.6,200.94,125.41,141.02,312.78,2681922.73,-1618844.16,-0.31,467.37,2447132.17,258214.99
1966,355.62,30368977.77,126.49,381.74,136.18,245.56,239.87,236.51,3.36,217.17,138.45,162.52,391.65,2681922.73,-1618844.16,9.91,518.14,2447132.17,258214.99
1967,320.09,30368977.77,46.72,432.86,191.35,241.51,226.73,220.95,5.78,207.42,112.67,131.24,404.61,2681922.73,-1618844.16,-28.25,451.34,2447132.17,258214.99
1968,331.76,30368977.77,64.16,574.25,351.41,222.84,205.67,202.16,3.51,183.1,148.67,183.55,451.16,2681922.73,-1618844.16,-123.09,515.31,2447132.17,258214.99
1969,444.99,30368977.77,87.8,761.94,512.19,249.74,277.91,273.23,4.68,252.71,192.28,215.41,572.59,2681922.73,-1618844.16,-189.34,660.4,2447132.17,258214.99
1970,641.5,30368977.77,128.15,1120.3,768.6,351.7,388.9,370.4,18.5,342.4,299.1,336.7,850.0,2681922.73,-1618844.16,-270.3,978.2,2447132.17,258214.99
1971,670.0,30368977.77,267.5,1099.2,597.2,502.0,392.8,386.4,6.4,354.4,315.6,371.8,774.3,2681922.73,-1618844.16,-324.9,1041.8,2447132.17,258214.99
1972,747.4,30368977.77,229.5,1235.0,606.3,628.7,428.9,414.0,14.9,385.2,362.2,467.5,985.4,2681922.73,-1618844.16,-249.6,1214.9,2447132.17,258214.99
1973,925.8,30368977.77,403.0,1316.9,563.3,753.6,501.7,486.3,15.4,435.9,489.9,596.7,1119.5,2681922.73,-1618844.16,-197.4,1522.5,2447132.17,258214.99
1974,1357.2,30368977.77,3492.5,-310.3,-1277.0,966.7,744.1,638.7,105.4,569.9,787.3,995.1,-1140.2,2681922.73,-1618844.16,-829.9,2352.3,2447132.17,258214.99
1975,2605.4,30368977.77,3533.2,1217.9,-453.9,1671.8,1859.4,1155.5,703.9,1030.7,1574.7,1635.8,708.0,2681922.73,-1618844.16,-509.9,4241.2,2447132.17,258214.99
1976,3864.1,30368977.77,3170.2,3309.9,845.5,2464.4,2445.2,1540.0,905.2,1351.2,2512.9,2041.0,2734.9,2681922.73,-1618844.16,-575.0,5905.1,2447132.17,258214.99
1977,5557.8,30368977.77,2722.3,5162.2,1353.8,3808.4,2792.6,2162.6,630.0,1940.8,3617.0,2341.0,5176.5,2681922.73,-1618844.16,14.3,7898.8,2447132.17,258214.99
1978,5260.7,30368977.77,1192.9,7017.4,2504.4,4513.0,2898.6,2381.7,516.9,2157.2,3103.5,2724.7,6792.5,2681922.73,-1618844.16,-224.9,7985.4,2447132.17,258214.99
1979,6351.5,30368977.77,3232.2,8765.2,3365.6,5399.6,3083.4,2703.4,380.0,2350.8,4000.7,3873.1,6992.4,2681922.73,-1618844.16,-1772.8,10224.6,2447132.17,258214.99
1980,9650.7,30368977.77,5622.0,11025.6,3567.8,7457.8,4797.5,3589.5,1208.0,3185.9,6464.8,5449.3,9478.0,2681922.73,-1618844.16,-1547.6,15100.0,2447132.17,258214.99
1981,9915.3,30368977.77,2585.0,16203.4,6532.9,9670.5,5026.1,4347.7,678.4,3861.9,6053.4,6246.4,13576.7,2681922.73,-1618844.16,-2626.7,16161.7,2447132.17,258214.99
1982,10291.8,30368977.77,888.1,22272.0,10660.6,11611.4,5784.5,4728.9,1055.6,4222.5,6069.3,7801.8,17205.5,2681922.73,-1618844.16,-5066.5,18093.6,2447132.17,258214.99
1983,11517.8,30368977.77,501.4,28687.9,16450.1,12237.8,6109.5,5299.3,810.2,4842.8,6675.0,9361.3,20377.7,2681922.73,-1618844.16,-8310.2,20879.1,2447132.17,258214.99
1984,12497.1,30368977.77,1110.7,32020.6,19125.3,12895.3,5915.6,5347.2,568.4,4883.5,7613.6,10872.9,22259.3,2681922.73,-1618844.16,-9761.3,23370.0,2447132.17,258214.99
1985,13878.0,30368977.77,1418.4,34462.6,20323.6,14139.0,5715.1,5375.0,340.1,4909.9,8968.1,12399.6,24859.2,2681922.73,-1618844.16,-9603.4,26277.6,2447132.17,258214.99
1986,13560.4,30368977.77,5367.8,37850.5,19550.6,18299.9,6666.4,5696.3,970.1,5177.9,8382.5,13829.4,22022.0,2681922.73,-1618844.16,-15828.5,27389.8,2447132.17,258214.99
1987,15195.7,30368977.77,3700.5,44140.0,22247.5,21892.5,8491.8,6854.9,1636.9,6298.6,8897.1,18471.7,29966.9,2681922.73,-1618844.16,-14173.1,33667.4,2447132.17,258214.99
1988,22232.1,30368977.77,9492.4,54813.1,29340.6,25472.5,11740.6,10210.5,1530.1,9413.6,12818.5,23214.8,35954.5,2681922.73,-1618844.16,-18858.6,45446.9,2447132.17,258214.99
