Year,Price (Naira)
1960,0.05
1961,0.05
1962,0.05
1963,0.05
1964,0.05
1965,0.05
1966,0.05
1967,0.05
1968,0.05
1969,0.05
1970,0.15
1971,0.15
1972,0.15
1973,0.15
1974,0.15
1975,0.15
1976,0.15
1977,0.15
1978,0.15
1979,0.15
1980,0.15
1981,0.15
1982,0.2
1983,0.2
1984,0.2
1985,0.2
1986,0.395
1987,0.395
1988,0.395
1989,0.395
1990,0.6
1991,0.7
1992,3.25
1993,11.0
1994,11.0
1995,11.0
1996,11.0
1997,11.0
1998,11.0
1999,20.0
2000,22.0
2001,26.0
2002,30.0
2003,40.0
2004,55.0
2005,60.0
2006,65.0
2007,70.0
2008,65.0
2009,65.0
2010,65.0
2011,65.0
2012,1.2
2013,1.2
2014,1.2
2015,1.45
2016,1.45
2017,1.5
2018,1.45
2019,1.45
2020,1.65
2021,1.68
2022,1.95
2023,6.26
2024,6.75

Metadata: This file was processed on 2024-06-18 13:47:44.018722
