,Real Estate (millions of naira)
1981,1063959.81
1982,1074049.33
1983,1086703.98
1984,1086931.99
1985,1091378.22
1986,1100909.11
1987,1112486.41
1988,1123077.56
1989,1139870.62
1990,1196554.34
1991,1244151.79
1992,1292347.78
1993,1346312.46
1994,1386533.73
1995,1430716.7
1996,1445024.44
1997,1536907.47
1998,1628648
1999,1690330.88
2000,1756078.06
2001,1843817.31
2002,1899131.7
2003,1956105.96
2004,2168328.64
2005,2408823.7
2006,2690065.81
2007,3005424.89
2008,3359764.49
2009,3727341.54
2010,4127988.21
2011,4145866.08
2012,4379936.8
2013,4904636.97
2014,5155727.95
2015,5264695.89
2016,4903604.64
2017,4694391.27
2018,4471861.75
2019,4366350.6
2020,3963589.18
2021,4053083.2
2022,4213070.41
2023,4283647.4

Metadata: This file was processed on 2024-06-18 13:47:36.243036
