Year,Value(%)
1960,26.17
1961,25.49
1962,21.83
1963,22.32
1964,24.62
1965,26.91
1966,25.04
1967,28.49
1968,25.66
1969,26.82
1970,19.62
1971,24.46
1972,22.76
1973,31.27
1974,39.75
1975,41.17
1976,42.14
1977,47.4
1978,43.31
1979,43.88
1980,48.57
1981,18.17
1982,13.78
1983,10.04
1984,9.38
1985,10.39
1986,9.14
1987,19.5
1988,16.94
1989,34.18
1990,30.92
1991,37.02
1992,38.23
1993,33.72
1994,23.06
1995,39.53
1996,40.26
1997,51.46
1998,39.28
1999,34.46
2000,49.0
2001,49.68
2002,40.04
2003,49.33
2004,31.9
2005,33.06
2006,42.57
2007,39.34
2008,40.8
2009,36.06
2010,43.32
2011,53.28
2012,44.53
2013,31.05
2014,30.89
2015,21.33
2016,20.72
2017,26.35
2018,33.01
2019,34.02
2020,25.4

Metadata: This file was processed on 2024-06-18 13:47:37.216105
