Year,Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),GDP (constant LCU),GDP (current LCU),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Livestock production index (2014-2016 = 100),"Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)"
1960,0.065885964,0,9.28E+12,2997268700,0,93.39704775,0,0,5.444327362,0,0.714286,343000000
1961,0.070023041,19.81,9.30E+12,3190921200,0.19179549,97.42096832,-1.834009744,6.257169154,6.279147235,17.19,0.714286,307070650
1962,0.073710197,20.92,9.68E+12,3506715100,4.102992589,104.8527494,1.954451077,5.5653009,5.265632346,15.71,0.714286,289024970
1963,0.071723961,21.87,1.05E+13,3689708800,8.578618915,108.0157416,6.30652789,-3.09475245,-2.694655352,15.95,0.714286,210030680
1964,0.072338487,22.39,1.10E+13,3966381100,4.950488666,113.6583754,2.729815775,2.427808985,0.856793146,17.6,0.714286,228053520
1965,0.075306867,23.29,1.16E+13,4196100000,4.884976834,117.6653708,2.638222175,0.864444953,4.103458738,18.55,0.714286,239053520
1966,0.082604363,22.33,1.11E+13,4547800000,-4.250514184,124.7918565,-6.304550189,13.19287149,9.690346084,18.07,0.714286,215353490
1967,0.079526246,23.24,9.33E+12,3716600000,-15.74362821,99.85740448,-17.50031001,-3.006705394,-3.726336765,20.08,0.714286,112359200
1968,0.079147654,23.65,9.21E+12,3715000000,-1.248360246,97.74452716,-3.296209676,1.220546969,-0.476059059,19.82,0.714286,121194900
1969,0.087185874,26.17,1.14E+13,4738800000,24.19738395,122.0424175,21.56855046,2.706306994,10.1559792,23.16,0.714286,132459200
1970,0.099180104,28.18,1.43E+13,8961500000,25.00724193,225.7739996,22.28859872,51.27848133,13.75707992,23.85,0.714286,223498270
1971,0.115048043,25.29,1.63E+13,10375400000,14.23753156,161.5439014,11.68828357,1.348034249,15.99911485,23.45,0.712855833,431942650.8
1972,0.119026001,22.5,1.69E+13,11034700000,3.364262035,210.9954798,0.990043512,2.892868106,3.457649752,21.78,0.657894999,390711738.6
1973,0.125456576,23.22,1.78E+13,12251600000,5.392760484,254.3873472,2.861422314,5.346836564,5.402664454,25.79,0.657894999,622853179.5
1974,0.141357436,25.79,1.98E+13,19604000000,11.16067455,406.2701421,8.338877323,43.94636792,12.67439318,27.79,0.630282046,5708969927
1975,0.189368342,24.13,1.88E+13,22945400000,-5.227747555,441.9785958,-7.781163332,23.50079026,33.96418832,27.98,0.615501553,5665692312
1976,0.235384849,22.23,2.05E+13,28611400000,9.042351726,561.5500999,5.994950063,14.35318537,24.3,33.58,0.626601004,5256784369
1977,0.270899325,22.12,2.17E+13,33585000000,6.02411785,541.156246,2.949036296,10.71375379,15.08783406,31.92,0.644701062,4335987601
1978,0.329709525,21.32,2.04E+13,36053000000,-5.764158394,532.2174337,-8.570210695,13.91474502,21.70924574,34.08,0.635271994,2028808604
1979,0.368317622,21.52,2.18E+13,42912000000,6.759430935,667.9817219,3.56501702,11.48876314,11.70973062,36.88,0.604007374,5899642026
1980,0.40504722,22.15,2.27E+13,50270000100,4.204831044,880.0619837,1.060704056,12.41966224,9.97226199,44.84,0.546780892,10639786873
1981,0.489348981,22.37,1.97E+13,1.39E+11,-13.12788049,2187.886436,-15.6978583,219.002844,20.81282291,42.52,0.617708175,4168449636
1982,0.527017828,22.8,1.84E+13,1.49E+11,-6.803388815,1844.849844,-9.46806679,14.80255192,7.697747247,45.88,0.673461262,1926433779
1983,0.649350954,22.73,1.64E+13,1.59E+11,-10.92408503,1223.603921,-13.12822814,19.56894989,23.21233155,50.04,0.724409851,1251986799
1984,0.765068757,24.26,1.62E+13,1.66E+11,-1.115623217,903.4493516,-3.530019789,5.653664095,17.82053329,51.7,0.766527449,1674113905
1985,0.821954257,25.7,1.72E+13,1.88E+11,5.913027459,882.2827027,3.064911348,6.927769156,7.435344828,57.97,0.893774083,1891868244
1986,0.868946627,28.2,1.72E+13,1.98E+11,0.060945274,638.7316957,-2.526674823,5.415452584,5.717151454,51,1.754523004,1349903027
1987,0.967053504,28.87,1.77E+13,2.45E+11,3.200125467,598.2909687,0.574529215,19.6694756,11.29032258,52.06,4.016037344,1497832059
1988,1.494206213,33.58,1.90E+13,3.16E+11,7.334025488,549.5037556,4.593066668,20.17712612,54.51122478,50.35,4.536966667,932989776.5
1989,2.248282603,37.59,1.94E+13,4.15E+11,1.919381296,474.4569001,-0.709919119,28.96967339,50.46668812,49.54,7.364735,2041078374
