year,Naira(million)
1981,851561.61
1982,679200.42
1983,598782.27
1984,488143.29
1985,336270.79
1986,335758.58
1987,367003.84
1988,404395.72
1989,421214.38
1990,442274.21
1991,459966.2
1992,477904.06
1993,501799.0
1994,516853.08
1995,530808.44
1996,537177.87
1997,571557.91
1998,605850.87
1999,628872.48
2000,654027.49
2001,732511.6
2002,764328.51
2003,831207.14
2004,774859.94
2005,868587.0
2006,981454.9
2007,1109313.11
2008,1254300.33
2009,1404496.02
2010,1570973.47
2011,1817829.82
2012,1989464.28
2013,2272376.69
2014,2568464.75
2015,2680216.0
2016,2520852.18
2017,2545991.32
2018,2605287.77
2019,2652540.16
2020,2448716.21
2021,2524386.15
2022,2638925.05
2023,2733059.98
