YEAR,NGAPCPIPCPPPT
2000,6.93754759103386
2001,18.86922908168950
2002,12.88265888641830
2003,14.03342768681450
2004,15.00097811190600
2005,17.85632859674130
2006,8.21786440386795
2007,5.40135897731207
2008,11.58107517482520
2009,12.53635464507090
2010,13.74161380426550
2011,10.82524308982300
2012,12.22534394565870
2013,8.49464548233693
2014,8.04782773850112
2015,9.01048389635740
2016,15.69578820697940
2017,16.50205110709890
2018,12.09440686803180
2019,11.39702251432800
2020,13.24675473241390
2021,16.95279078341950
2022,18.84684482371430
2023,24.65960748118610
2024,26.31121235980590
2025,22.97207286399360
Metadata: This file was processed on 2024-06-18 13:47:42.092284
