Indicator Name,Food imports (% of merchandise imports)
Indicator Code,TM.VAL.FOOD.ZS.UN
1962,14.12995054
1963,12.13926421
1964,9.237442657
1965,9.142000828
1966,11.01746824
1967,10.47026896
1968,8.102568129
1969,8.784484522
1970,8.244636328
1971,8.625373832
1972,10.14052197
1973,10.8162252
1974,9.533229636
1975,9.380065312
1976,10.10803586
1977,12.86975246
1978,14.12978179
1979,16.84721006
1980,
1981,15.54433074
1982,
1983,21.5548761
1984,21.28781475
1985,17.95692129
1986,15.7696387
1987,10.85984398
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,17.51441946
1997,18.38688963
1998,19.59734175
1999,27.02321964
2000,19.91769604
2001,21.70472748
2002,19.57764009
2003,15.49647911
2004,
2005,
2006,17.95533875
2007,20.05801203
2008,9.778790493
2009,11.82807705
2010,10.25156715
2011,30.56950444
2012,22.70974247
2013,17.82938979
2014,17.02716473
2015,16.94891678
2016,12.85060087
2017,16.31575825
2018,10.9317926
2019,9.915774867
2020,14.62608094
2021,14.16449686
2022,11.42552882
2023,
