Year,Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),GDP (constant LCU),GDP (current LCU),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Livestock production index (2014-2016 = 100),"Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Population, female","Population, male",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population)
1960,0.06588596413,19.31,9277979393400,2997268700,0.1917954896,93.39704772,-1.834009744,6.257169154,5.444327362,17.19,0.7142859997,343000000,22509554,22418787,41.00562337,55.66795182,3.326424814
1961,0.07002304082,19.31,9295774139400,3190921200,0.1917954896,97.42096828,-1.834009744,6.257169154,6.279147235,17.19,0.7142859997,307070650,22972267,22883240,40.97740931,55.67817672,3.344413973
1962,0.07371019671,20.41,9677179063400,3506715100,4.102992589,104.8527493,1.954451077,5.5653009,5.265632346,15.71,0.7142859997,289024970,23454102,23367743,40.98540115,55.65455291,3.360045936
1963,0.07172396095,21.35,10507347377000,3689708800,8.578618915,108.0157416,6.30652789,-3.09475245,-2.694655352,15.95,0.7142859997,210030680,23952407,23870161,41.07478564,55.55440315,3.37081121
1964,0.07233848693,21.86,11027512418000,3966381100,4.950488666,113.6583753,2.729815775,2.427808985,0.8567931457,17.6,0.7142859997,228053520,24467983,24388349,41.26706647,55.35880897,3.374124566
1965,0.07530686689,22.75,11566203845000,4196100000,4.884976834,117.6653708,2.638222175,0.8644449534,4.103458738,18.54,0.7142859997,239053520,25001034,24924766,41.44872373,55.18143736,3.369838908
1966,0.08260436292,21.81,11074580710000,4547800000,-4.250514184,124.7918564,-6.304550189,13.19287149,9.690346084,18.07,0.7142859997,215353490,25544212,25476085,41.58016114,55.06090895,3.358929911
1967,0.07952624617,22.71,9331039897400,3716600000,-15.74362821,99.85740444,-17.50031001,-3.006705394,-3.726336765,20.08,0.7142859997,112359200,26089879,26016803,41.7219239,54.93941118,3.338664927
1968,0.07914765427,23.11,9214554904800,3715000000,-1.248360246,97.74452712,-3.296209676,1.220546969,-0.4760590591,19.82,0.7142859997,121194900,26650321,26559798,41.86627265,54.81777536,3.31595199
1969,0.08718587358,25.61,11444236134000,4738800000,24.19738395,122.0424175,21.56855046,2.706306994,10.1559792,23.16,0.7142859997,132459200,27231346,27129404,42.00882806,54.69332561,3.297846332
1970,0.09918010389,27.6,14306123951000,8961500000,25.00724193,225.7739995,22.28859872,51.27848133,13.75707992,23.85,0.7142859997,223498270,27832848,27736415,42.14127024,54.5766438,3.282085968
1971,0.1150480426,24.69,16342962863000,10375400000,14.23753156,161.5439014,11.68828357,1.348034249,15.99911485,23.45,0.712855833,431942650.8,28455645,28381969,42.28750172,54.44293369,3.269564588
1972,0.119026001,21.93,16892782958000,11034700000,3.364262035,210.9954798,0.9900435124,2.892868106,3.457649752,21.78,0.657894999,390711738.6,29110253,29063582,42.45683169,54.28287265,3.260295657
