Year,"Inflation, consumer prices (annual %)","Official exchange rate (LCU per US$, period average)",GDP per capita (current US$),GDP (constant LCU),GDP (current LCU),"Manufacturing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)",GDP per capita growth (annual %),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Industry (including construction), value added (% of GDP)",Lending interest rate (%),Consumer price index (2010 = 100),"Total reserves (includes gold, current US$)",Livestock production index (2014-2016 = 100),Crop production index (2014-2016 = 100)
1960,5.444327362,0.7142859997,93.39704772,9277979393400,2997268700,,,,,,,,0.06588596413,343000000,,
1961,6.279147235,0.7142859997,97.42096828,9295774139400,3190921200,,,-1.834009744,0.1917954896,6.257169154,,,0.07002304082,307070650,17.19,19.31
1962,5.265632346,0.7142859997,104.8527493,9677179063400,3506715100,,,1.954451077,4.102992589,5.5653009,,,0.07371019671,289024970,15.71,20.41
1963,-2.694655352,0.7142859997,108.0157416,10507347377000,3689708800,,,6.30652789,8.578618915,-3.09475245,,,0.07172396095,210030680,15.95,21.35
1964,0.8567931457,0.7142859997,113.6583753,11027512418000,3966381100,,,2.729815775,4.950488666,2.427808985,,,0.07233848693,228053520,17.6,21.86
1965,4.103458738,0.7142859997,117.6653708,11566203845000,4196100000,,,2.638222175,4.884976834,0.8644449534,,,0.07530686689,239053520,18.54,22.75
1966,9.690346084,0.7142859997,124.7918564,11074580710000,4547800000,,,-6.304550189,-4.250514184,13.19287149,,,0.08260436292,215353490,18.07,21.81
1967,-3.726336765,0.7142859997,99.85740444,9331039897400,3716600000,,,-17.50031001,-15.74362821,-3.006705394,,,0.07952624617,112359200,20.08,22.71
1968,-0.4760590591,0.7142859997,97.74452712,9214554904800,3715000000,,,-3.296209676,-1.248360246,1.220546969,,,0.07914765427,121194900,19.82,23.11
1969,10.1559792,0.7142859997,122.0424175,11444236134000,4738800000,,,21.56855046,24.19738395,2.706306994,,,0.08718587358,132459200,23.16,25.61
1970,13.75707992,0.7142859997,225.7739995,14306123951000,8961500000,,,22.28859872,25.00724193,51.27848133,,,0.09918010389,223498270,23.85,27.6
1971,15.99911485,0.712855833,161.5439014,16342962863000,10375400000,,,11.68828357,14.23753156,1.348034249,,,0.1150480426,431942650.8,23.45,24.69
1972,3.457649752,0.657894999,210.9954798,16892782958000,11034700000,,,0.9900435124,3.364262035,2.892868106,,,0.119026001,390711738.6,21.78,21.93
1973,5.402664454,0.657894999,254.3873472,17803770282000,12251600000,,,2.861422314,5.392760484,5.346836564,,,0.1254565764,622853179.5,25.79,22.64
1974,12.67439318,0.6302820462,406.2701421,19790791140000,19604000000,,,8.338877323,11.16067455,43.94636792,,,0.1413574362,5708969927,27.79,25.19
1975,33.96418832,0.6155015534,441.9785958,18756178540000,22945400000,,,-7.781163332,-5.227747555,23.50079026,,,0.189368342,5665692312,27.98,23.55
1976,24.3,0.6266010037,561.5500999,20452178174000,28611400000,,,5.994950063,9.042351726,14.35318537,,,0.2353848491,5256784369,33.58,21.66
1977,15.08783406,0.6447010621,541.156246,21684241490000,33585000000,,,2.949036296,6.02411785,10.71375379,,,0.2708993246,4335987601,31.92,21.55
1978,21.70924574,0.6352719943,532.2174337,20434327464000,36053000000,,,-8.570210695,-5.764158394,13.91474502,,,0.3297095247,2028808604,34.08,20.77
1979,11.70973062,0.604007374,667.9817219,21815571716000,42912000000,,,3.56501702,6.759430935,11.48876314,,,0.3683176218,5899642026,36.88,20.97
1980,9.97226199,0.5467808919,880.0619837,22732879648000,50270000100,,,1.060704056,4.204831044,12.41966224,,,0.40504722,10639786873,44.84,21.58
1981,20.81282291,0.617708175,2187.886436,19748534377000,139310502460,,,-15.6978583,-13.12788049,219.002844,,,0.4893489806,4168449636,42.52,21.81
1982,7.697747247,0.6734612615,1844.849844,18404964798000,149051215300,,,-9.46806679,-6.803388815,14.80255192,,,0.5270178283,1926433779,45.88,22.23
1983,23.21233155,0.7244098512,1223.603921,16394390793000,158750180780,,,-13.12822814,-10.92408503,19.56894989,,,0.649350954,1251986799,50.05,22.16
1984,17.82053329,0.7665274491,903.4493516,16211491163000,165854199440,,,-3.530019789,-1.115623217,5.653664095,,,0.7650687569,1674113905,51.7,23.67
1985,7.435344828,0.8937740833,882.2827027,17170081087000,187830606490,21.05450311,18.22763997,3.064911348,5.913027459,6.927769156,33.466601,9.433333333,0.8219542571,1891868244,57.97,25.09
1986,5.717151454,1.754523004,638.7316957,17180545440000,198123157080,21.009999,18.02042516,-2.526674823,0.06094527421,5.415452584,32.83078352,9.959166667,0.8689466269,1349903027,50.99,27.49
1987,11.29032258,4.016037344,598.2909687,17730344450000,244680214770,18.78351295,20.55210632,0.5745292145,3.200125467,19.6694756,32.88690102,13.96166667,0.9670535041,1497832059,52.07,28.16
1988,54.51122478,4.536966667,549.5037556,19030692431000,315615326590,21.0196417,23.37164885,4.593066668,7.334025488,20.17712612,32.61486597,16.61666667,1.494206213,932989776.5,50.34,32.81
1989,50.46668812,7.364735,474.4569001,19395963982000,414860860130,18.35403221,21.27559734,-0.7099191187,1.919381296,28.96967339,35.39180717,20.44166667,2.248282603,2041078374,49.55,36.78
1990,7.364400306,8.038285,567.5179022,21680204536000,494643670980,17.78259534,21.55626328,8.877000036,11.77688593,6.66894187,35.41032677,25.3,2.413855134,4128789618,50.35,38.98
1991,13.0069731,9.909491667,609.3731283,21757896113000,590059736200,19.49458715,20.88528311,-2.1803679,0.3583526017,18.8639068,36.96556598,20.04166667,2.727824622,4678023330,50.04,44.86
